Cage,Mouse_#,Genotype,Sex,DOB,Age_in_Weeks,Ear_Marking,Treatment,FecalWeight,Timepoint,DateOfCollection,DateofGavage,ExpDay,Age_at_collection,TubeLabel,Date_Extracted,DNA_ng/uL,Plate_Well,SpikeInAdded,SeqCoastTube,FlaggedasLowQualitySequencing
9,2,664 C57BL/6J,M,9/5/23,7.9,Right Ear,PBS,45.3,Baseline_3,11/3/23,12/6/23,-33,8.4,B3_9_2,1/8/24,39,P3B10,No,22,No
9,3,664 C57BL/6J,M,9/5/23,7.9,None,PBS,36.3,Baseline_3,11/3/23,12/6/23,-33,8.4,B3_9_3,1/8/24,49.6,P3B11,No,23,No
10,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,PBS,28.3,Baseline_3,11/3/23,12/6/23,-33,8.4,B3_10_1,1/8/24,27.2,P3B12,No,24,No
10,2,664 C57BL/6J,M,9/5/23,7.9,None,PBS,32.3,Baseline_3,11/3/23,12/6/23,-33,8.4,B3_10_2,1/9/24,17,P3C1,No,25,No
11,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,Bacteroides,21.7,Baseline_3,11/3/23,12/6/23,-33,8.4,B3_11_1,1/9/24,15.5,P3C2,No,26,No
11,2,664 C57BL/6J,M,9/5/23,7.9,Right Ear,Bacteroides,20.2,Baseline_3,11/3/23,12/6/23,-33,8.4,B3_11_2,1/9/24,21.4,P3C3,No,27,No
11,3,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,35.2,Baseline_3,11/3/23,12/6/23,-33,8.4,B3_11_3,1/9/24,31.4,P3C4,No,28,No
12,1,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,35.1,Baseline_3,11/3/23,12/6/23,-33,8.4,B3_12_1,1/9/24,24.7,P3C5,No,29,No
13,1,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,46.5,Baseline_3,11/3/23,12/6/23,-33,8.4,B3_13_1,1/9/24,66.1,P3C6,No,30,No
1,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Baseline,55.3,Baseline_6,23-Nov,12/6/23,-26,9.4,B6_1_1,1/9/24,52.8,P3C7,No,31,No
1,2,664 C57BL/6J,F,9/5/23,7.9,Right Ear,Baseline,40.4,Baseline_6,23-Nov,12/6/23,-26,9.4,B6_1_2,1/9/24,37.6,P3C8,No,32,No
1,3,664 C57BL/6J,F,9/5/23,7.9,None,Baseline,38.5,Baseline_6,23-Nov,12/6/23,-26,9.4,B6_1_3,1/9/24,43,P3C9,No,33,No
2,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Baseline,19,Baseline_6,23-Nov,12/6/23,-26,9.4,B6_2_1,1/9/24,8.4,P3C10,No,34,No
2,2,664 C57BL/6J,F,9/5/23,7.9,None,Baseline,23.6,Baseline_6,23-Nov,12/6/23,-26,9.4,B6_2_2,1/9/24,27.8,P3C11,No,35,Underperform
3,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,PBS,35.9,Baseline_6,23-Nov,12/6/23,-26,9.4,B6_3_1,1/9/24,42.8,P3C12,No,36,No
3,2,664 C57BL/6J,F,9/5/23,7.9,Right Ear,PBS,51.5,Baseline_6,23-Nov,12/6/23,-26,9.4,B6_3_2,1/23/24,79.5,P3D1,No,37,No
3,3,664 C57BL/6J,F,9/5/23,7.9,None,PBS,33.6,Baseline_6,23-Nov,12/6/23,-26,9.4,B6_3_3,1/23/24,25,P3D2,No,38,No
4,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,PBS,39.3,Baseline_6,23-Nov,12/6/23,-26,9.4,B6_4_1,1/23/24,27.4,P3D3,No,39,No
4,2,664 C57BL/6J,F,9/5/23,7.9,None,PBS,34.9,Baseline_6,23-Nov,12/6/23,-26,9.4,B6_4_2,1/23/24,27.9,P3D4,No,40,No
5,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Bacteroides,52.3,Baseline_6,23-Nov,12/6/23,-26,9.4,B6_5_1,1/23/24,47,P3D5,No,41,No
5,2,664 C57BL/6J,F,9/5/23,7.9,Right Ear,Bacteroides,15.9,Baseline_6,23-Nov,12/6/23,-26,9.4,B6_5_2,1/23/24,14.1,P3D6,No,42,No
5,3,664 C57BL/6J,F,9/5/23,7.9,None,Bacteroides,42.3,Baseline_6,23-Nov,12/6/23,-26,9.4,B6_5_3,1/23/24,35.5,P3D7,No,43,No
6,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Bacteroides,33.3,Baseline_6,23-Nov,12/6/23,-26,9.4,B6_6_1,1/23/24,32.1,P3D8,No,44,No
6,2,664 C57BL/6J,F,9/5/23,7.9,None,Bacteroides,19.9,Baseline_6,23-Nov,12/6/23,-26,9.4,B6_6_2,1/23/24,13.8,P3D9,No,45,No
7,2,664 C57BL/6J,M,9/5/23,7.9,Right Ear,Baseline,76,Baseline_6,23-Nov,12/6/23,-26,9.4,B6_7_2,1/23/24,85.5,P3D11,No,47,No
7,3,664 C57BL/6J,M,9/5/23,7.9,None,Baseline,47.5,Baseline_6,23-Nov,12/6/23,-26,9.4,B6_7_3,1/23/24,26.9,P3D12,No,48,No
8,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,Baseline,36.4,Baseline_6,23-Nov,12/6/23,-26,9.4,B6_8_1,1/24/24,42.4,P3E1,No,49,No
8,2,664 C57BL/6J,M,9/5/23,7.9,None,Baseline,26.6,Baseline_6,23-Nov,12/6/23,-26,9.4,B6_8_2,1/24/24,17.7,P3E2,No,50,No
9,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,PBS,44,Baseline_6,23-Nov,12/6/23,-26,9.4,B6_9_1,1/24/24,64.7,P3E3,No,51,No
9,2,664 C57BL/6J,M,9/5/23,7.9,Right Ear,PBS,41.8,Baseline_6,23-Nov,12/6/23,-26,9.4,B6_9_2,1/24/24,42.7,P3E4,No,52,No
9,3,664 C57BL/6J,M,9/5/23,7.9,None,PBS,29.4,Baseline_6,23-Nov,12/6/23,-26,9.4,B6_9_3,1/24/24,25.9,P3E5,No,53,No
10,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,PBS,18,Baseline_6,23-Nov,12/6/23,-26,9.4,B6_10_1,1/24/24,16.7,P3E6,No,54,No
10,2,664 C57BL/6J,M,9/5/23,7.9,None,PBS,39.1,Baseline_6,23-Nov,12/6/23,-26,9.4,B6_10_2,1/24/24,74.8,P3E7,No,55,No
11,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,Bacteroides,50.6,Baseline_6,23-Nov,12/6/23,-26,9.4,B6_11_1,1/24/24,32.5,P3E8,No,56,No
11,2,664 C57BL/6J,M,9/5/23,7.9,Right Ear,Bacteroides,15.5,Baseline_6,23-Nov,12/6/23,-26,9.4,B6_11_2,1/24/24,12,P3E9,No,57,No
12,1,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,29.6,Baseline_6,23-Nov,12/6/23,-26,9.4,B6_12_1,1/24/24,30.6,P3E11,No,59,No
13,1,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,17.7,Baseline_6,23-Nov,12/6/23,-26,9.4,B6_13_1,1/24/24,7,P3E12,No,60,No
3,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,PBS,22.2,Antibiotics_3,11/20/23,12/6/23,-16,10.9,Abx3_3_1,1/24/24,4.5,P3F1,No,61,No
3,2,664 C57BL/6J,F,9/5/23,7.9,Right Ear,PBS,48.1,Antibiotics_3,11/20/23,12/6/23,-16,10.9,Abx3_3_2,1/24/24,6.2,P3F2,No,62,No
3,3,664 C57BL/6J,F,9/5/23,7.9,None,PBS,48.3,Antibiotics_3,11/20/23,12/6/23,-16,10.9,Abx3_3_3,1/24/24,5.7,P3F3,No,63,No
4,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,PBS,37.9,Antibiotics_3,11/20/23,12/6/23,-16,10.9,Abx3_4_1,1/24/24,6.5,P3F4,No,64,Yes
4,2,664 C57BL/6J,F,9/5/23,7.9,None,PBS,46.1,Antibiotics_3,11/20/23,12/6/23,-16,10.9,Abx3_4_2,1/24/24,5.6,P3F5,No,65,No
5,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Bacteroides,40.3,Antibiotics_3,11/20/23,12/6/23,-16,10.9,Abx3_5_1,1/24/24,7.8,P3F6,No,66,No
5,2,664 C57BL/6J,F,9/5/23,7.9,Right Ear,Bacteroides,58.9,Antibiotics_3,11/20/23,12/6/23,-16,10.9,Abx3_5_2,1/24/24,5.8,P3F7,No,67,No
5,3,664 C57BL/6J,F,9/5/23,7.9,None,Bacteroides,48.7,Antibiotics_3,11/20/23,12/6/23,-16,10.9,Abx3_5_3,1/24/24,5,P3F8,No,68,No
6,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Bacteroides,31,Antibiotics_3,11/20/23,12/6/23,-16,10.9,Abx3_6_1,1/24/24,4.7,P3F9,No,69,No
6,2,664 C57BL/6J,F,9/5/23,7.9,None,Bacteroides,44.5,Antibiotics_3,11/20/23,12/6/23,-16,10.9,Abx3_6_2,1/24/24,6.1,P3F10,No,70,No
9,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,PBS,67.3,Antibiotics_3,11/20/23,12/6/23,-16,10.9,Abx3_9_1,1/24/24,8.5,P3F11,No,71,No
9,2,664 C57BL/6J,M,9/5/23,7.9,Right Ear,PBS,85.9,Antibiotics_3,11/20/23,12/6/23,-16,10.9,Abx3_9_2,1/24/24,9,P3F12,No,72,No
9,3,664 C57BL/6J,M,9/5/23,7.9,None,PBS,29,Antibiotics_3,11/20/23,12/6/23,-16,10.9,Abx3_9_3,1/24/24,6.5,P3G1,No,73,No
10,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,PBS,100.9,Antibiotics_3,11/20/23,12/6/23,-16,10.9,Abx3_10_1,1/24/24,9.8,P3G2,No,74,No
10,2,664 C57BL/6J,M,9/5/23,7.9,None,PBS,56.3,Antibiotics_3,11/20/23,12/6/23,-16,10.9,Abx3_10_2,1/24/24,8.1,P3G3,No,75,No
11,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,Bacteroides,87,Antibiotics_3,11/20/23,12/6/23,-16,10.9,Abx3_11_1,1/24/24,11.8,P3G4,No,76,No
11,2,664 C57BL/6J,M,9/5/23,7.9,Right Ear,Bacteroides,42.6,Antibiotics_3,11/20/23,12/6/23,-16,10.9,Abx3_11_2,1/24/24,5.4,P3G5,No,77,No
11,3,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,68.1,Antibiotics_3,11/20/23,12/6/23,-16,10.9,Abx3_11_3,1/24/24,11.3,P3G6,No,78,No
12,1,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,52.9,Antibiotics_3,11/20/23,12/6/23,-16,10.9,Abx3_12_1,1/24/24,9.6,P3G7,No,79,No
13,1,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,44.1,Antibiotics_3,11/20/23,12/6/23,-16,10.9,Abx3_13_1,1/24/24,8.8,P3G8,No,80,No
3,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,PBS,50.9,Antibiotics_6,11/29/23,12/6/23,-7,12.1,Abx6_3_1,1/24/24,16.1,P3G9,No,81,No
3,3,664 C57BL/6J,F,9/5/23,7.9,None,PBS,45.2,Antibiotics_6,11/29/23,12/6/23,-7,12.1,Abx6_3_3,1/24/24,8.7,P3G11,No,83,No
4,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,PBS,42,Antibiotics_6,11/29/23,12/6/23,-7,12.1,Abx6_4_1,1/24/24,9.2,P3G12,No,84,No
4,2,664 C57BL/6J,F,9/5/23,7.9,None,PBS,16.4,Antibiotics_6,11/29/23,12/6/23,-7,12.1,Abx6_4_2,1/27/24,7.1,P3H1,No,85,No
5,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Bacteroides,16.3,Antibiotics_6,11/29/23,12/6/23,-7,12.1,Abx6_5_1,1/27/24,2,P3H2,No,86,No
5,2,664 C57BL/6J,F,9/5/23,7.9,Right Ear,Bacteroides,42.1,Antibiotics_6,11/29/23,12/6/23,-7,12.1,Abx6_5_2,1/27/24,5.7,P3H3,No,87,No
5,3,664 C57BL/6J,F,9/5/23,7.9,None,Bacteroides,27.9,Antibiotics_6,11/29/23,12/6/23,-7,12.1,Abx6_5_3,1/27/24,0.1,P3H4,No,88,No
6,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Bacteroides,40.3,Antibiotics_6,11/29/23,12/6/23,-7,12.1,Abx6_6_1,1/27/24,5.6,P3H5,No,89,No
6,2,664 C57BL/6J,F,9/5/23,7.9,None,Bacteroides,28.1,Antibiotics_6,11/29/23,12/6/23,-7,12.1,Abx6_6_2,1/27/24,3.9,P3H6,No,90,No
9,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,PBS,84.3,Antibiotics_6,11/29/23,12/6/23,-7,12.1,Abx6_9_1,1/27/24,8,P3H7,No,91,No
9,2,664 C57BL/6J,M,9/5/23,7.9,Right Ear,PBS,54.2,Antibiotics_6,11/29/23,12/6/23,-7,12.1,Abx6_9_2,1/27/24,6.4,P3H8,No,92,No
9,3,664 C57BL/6J,M,9/5/23,7.9,None,PBS,78.4,Antibiotics_6,11/29/23,12/6/23,-7,12.1,Abx6_9_3,1/27/24,9.7,P3H9,No,93,No
10,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,PBS,48.9,Antibiotics_6,11/29/23,12/6/23,-7,12.1,Abx6_10_1,1/27/24,6.3,P3H10,No,94,No
10,2,664 C57BL/6J,M,9/5/23,7.9,None,PBS,59,Antibiotics_6,11/29/23,12/6/23,-7,12.1,Abx6_10_2,1/27/24,5.3,P3H11,No,95,No
11,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,Bacteroides,84.9,Antibiotics_6,11/29/23,12/6/23,-7,12.1,Abx6_11_1,1/27/24,11.5,P3H12,No,96,No
11,3,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,45.2,Antibiotics_6,11/29/23,12/6/23,-7,12.1,Abx6_11_3,1/27/24,5.2,P4A2,No,98,No
12,1,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,33.3,Antibiotics_6,11/29/23,12/6/23,-7,12.1,Abx6_12_1,1/27/24,8.4,P4A3,No,99,No
13,1,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,26.4,Antibiotics_6,11/29/23,12/6/23,-7,12.1,Abx6_13_1,1/27/24,6.8,P4A4,No,100,No
3,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,PBS,49,Gavage_1,12/7/23,12/6/23,1,13.3,Gav1_3_1,1/27/24,11.9,P4A5,No,101,No
3,2,664 C57BL/6J,F,9/5/23,7.9,Right Ear,PBS,35.4,Gavage_1,12/7/23,12/6/23,1,13.3,Gav1_3_2,1/27/24,7.8,P4A6,No,102,No
3,3,664 C57BL/6J,F,9/5/23,7.9,None,PBS,84.2,Gavage_1,12/7/23,12/6/23,1,13.3,Gav1_3_3,1/27/24,11.5,P4A7,No,103,No
4,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,PBS,24.3,Gavage_1,12/7/23,12/6/23,1,13.3,Gav1_4_1,1/27/24,5.7,P4A8,No,104,No
4,2,664 C57BL/6J,F,9/5/23,7.9,None,PBS,36.4,Gavage_1,12/7/23,12/6/23,1,13.3,Gav1_4_2,1/27/24,7.2,P4A9,No,105,No
5,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Bacteroides,50.8,Gavage_1,12/7/23,12/6/23,1,13.3,Gav1_5_1,1/27/24,4.5,P4A10,No,106,No
6,2,664 C57BL/6J,F,9/5/23,7.9,None,Bacteroides,28.6,Gavage_1,12/7/23,12/6/23,1,13.3,Gav1_6_2,1/27/24,4.5,P4B2,No,110,No
9,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,PBS,66,Gavage_1,12/7/23,12/6/23,1,13.3,Gav1_9_1,1/27/24,4.9,P4B3,No,111,No
9,2,664 C57BL/6J,M,9/5/23,7.9,Right Ear,PBS,22.3,Gavage_1,12/7/23,12/6/23,1,13.3,Gav1_9_2,1/27/24,11.6,P4B4,No,112,No
9,3,664 C57BL/6J,M,9/5/23,7.9,None,PBS,67.5,Gavage_1,12/7/23,12/6/23,1,13.3,Gav1_9_3,1/27/24,9.2,P4B5,No,113,No
10,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,PBS,34.8,Gavage_1,12/7/23,12/6/23,1,13.3,Gav1_10_1,1/27/24,7.7,P4B6,No,114,No
10,2,664 C57BL/6J,M,9/5/23,7.9,None,PBS,63.8,Gavage_1,12/7/23,12/6/23,1,13.3,Gav1_10_2,1/27/24,11.9,P4B7,No,115,No
11,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,Bacteroides,18,Gavage_1,12/7/23,12/6/23,1,13.3,Gav1_11_1,1/27/24,4.7,P4B8,No,116,No
11,2,664 C57BL/6J,M,9/5/23,7.9,Right Ear,Bacteroides,23.9,Gavage_1,12/7/23,12/6/23,1,13.3,Gav1_11_2,1/27/24,4.3,P4B9,No,117,No
11,3,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,55.3,Gavage_1,12/7/23,12/6/23,1,13.3,Gav1_11_3,1/27/24,10.4,P4B10,No,118,No
12,1,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,63.1,Gavage_1,12/7/23,12/6/23,1,13.3,Gav1_12_1,1/27/24,12.3,P4B11,No,119,No
3,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,PBS,72.4,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_3_1,2/10/24,18.2,P4C1,No,121,No
3,2,664 C57BL/6J,F,9/5/23,7.9,Right Ear,PBS,46.7,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_3_2,2/10/24,6.2,P4C2,No,122,No
3,3,664 C57BL/6J,F,9/5/23,7.9,None,PBS,44.9,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_3_3,2/10/24,5.1,P4C3,No,123,No
4,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,PBS,82.9,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_4_1,2/10/24,18.2,P4C4,No,124,No
4,2,664 C57BL/6J,F,9/5/23,7.9,None,PBS,68.5,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_4_2,2/10/24,12.3,P4C5,No,125,No
5,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Bacteroides,50.9,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_5_1,2/10/24,44,P4C6,No,126,No
5,2,664 C57BL/6J,F,9/5/23,7.9,Right Ear,Bacteroides,87.3,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_5_2,2/10/24,135.5,P4C7,No,127,No
5,3,664 C57BL/6J,F,9/5/23,7.9,None,Bacteroides,44.4,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_5_3,2/10/24,20.5,P4C8,No,128,No
6,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Bacteroides,94.7,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_6_1,2/10/24,144.4,P4C9,No,129,No
6,2,664 C57BL/6J,F,9/5/23,7.9,None,Bacteroides,32.1,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_6_2,2/10/24,7.7,P4C10,No,130,No
9,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,PBS,96.9,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_9_1,2/10/24,13.3,P4C11,No,131,No
9,2,664 C57BL/6J,M,9/5/23,7.9,Right Ear,PBS,53.2,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_9_2,2/10/24,6.5,P4C12,No,132,No
9,3,664 C57BL/6J,M,9/5/23,7.9,None,PBS,47.7,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_9_3,2/10/24,6.4,P4D1,No,133,No
10,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,PBS,32.1,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_10_1,2/10/24,5,P4D2,No,134,No
10,2,664 C57BL/6J,M,9/5/23,7.9,None,PBS,54.2,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_10_2,2/10/24,12.3,P4D3,No,135,No
11,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,Bacteroides,95,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_11_1,2/10/24,109.7,P4D4,No,136,Yes
11,2,664 C57BL/6J,M,9/5/23,7.9,Right Ear,Bacteroides,84.8,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_11_2,2/10/24,125.7,P4D5,No,137,No
11,3,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,45.4,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_11_3,2/10/24,32.2,P4D6,No,138,No
12,1,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,85,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_12_1,2/10/24,23.6,P4D7,No,139,No
13,1,664 C57BL/6J,M,9/5/23,7.9,None,Bacteroides,78.7,Gavage_4,12/11/23,12/6/23,5,13.9,Gav4_13_1,2/10/24,19.5,P4D8,No,140,No
3,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,PBS,108.2,Before_LPS,12/18/23,12/6/23,12,14.9,B4LPS_3_1,2/10/24,36.7,P4D9,No,141,No
3,2,664 C57BL/6J,F,9/5/23,7.9,Right Ear,PBS,97.8,Before_LPS,12/18/23,12/6/23,12,14.9,B4LPS_3_2,2/10/24,47.1,P4D10,No,142,No
3,3,664 C57BL/6J,F,9/5/23,7.9,None,PBS,117.1,Before_LPS,12/18/23,12/6/23,12,14.9,B4LPS_3_3,2/10/24,32.9,P4D11,No,143,No
4,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,PBS,25.8,Before_LPS,12/18/23,12/6/23,12,14.9,B4LPS_4_1,2/10/24,5.4,P4D12,No,144,No
4,2,664 C57BL/6J,F,9/5/23,7.9,None,PBS,60.7,Before_LPS,12/18/23,12/6/23,12,14.9,B4LPS_4_2,2/10/24,26.1,P4E1,No,145,No
5,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Bacteroides,53.6,Before_LPS,12/18/23,12/6/23,12,14.9,B4LPS_5_1,2/10/24,74.4,P4E2,No,146,No
5,2,664 C57BL/6J,F,9/5/23,7.9,Right Ear,Bacteroides,76.1,Before_LPS,12/18/23,12/6/23,12,14.9,B4LPS_5_2,2/10/24,82.3,P4E3,No,147,No
5,3,664 C57BL/6J,F,9/5/23,7.9,None,Bacteroides,79.8,Before_LPS,12/18/23,12/6/23,12,14.9,B4LPS_5_3,2/10/24,95.8,P4E4,No,148,No
6,1,664 C57BL/6J,F,9/5/23,7.9,Left Ear,Bacteroides,39.1,Before_LPS,12/18/23,12/6/23,12,14.9,B4LPS_6_1,2/10/24,36,P4E5,No,149,No
6,2,664 C57BL/6J,F,9/5/23,7.9,None,Bacteroides,50.1,Before_LPS,12/18/23,12/6/23,12,14.9,B4LPS_6_2,2/10/24,42.9,P4E6,No,150,No
9,1,664 C57BL/6J,M,9/5/23,7.9,Left Ear,PBS,24.1,Before_LPS,12/19/23,12/6/23,13,15,B4LPS_9_1,2/10/24,5.5,P4E7,No,151,No
9,2,664 C57BL/6J,M,9/5/23,7.9,Right Ear,PBS,44.7,Before_LPS,12/19/23,12/6/23,13,15,B4LPS_9_2,2/10/24,17.4,P4E8,No,152,No
9,3,664 C57BL/6J,M,9/5/23,7.9,None,PBS,42.7,Before_LPS,12/19/23,12/6/23,13,15,B4LPS_9_3,2/10/24,17.9,P4E9,No,153,No
